Round,Rating,Viewers,Season,TeamID1,TeamID2,Network
5,9.1,15.84,2019,1277,1403,CBS
5,7.6,12.967,2019,1438,1120,CBS
5,7.2,13.15,2018,1276,1260,Turner
5,6.8,13.092,2018,1437,1242,Turner
5,10.4,18.825,2017,1314,1332,CBS
5,8.5,14.683,2017,1211,1376,CBS
5,7.3,12.939,2016,1314,1393,Turner
5,6.1,10.451,2016,1437,1328,Turner
5,12.4,22.626,2015,1458,1246,Turner
5,8.7,15.307,2015,1181,1277,Turner
5,9.2,16.25,2014,1246,1458,Turner
5,6.9,11.654,2014,1163,1196,Turner
5,10.2,17.104,2013,1276,1393,CBS
5,8.7,14.469,2013,1257,1455,CBS
5,9.6,16.603,2012,1242,1326,CBS
5,8.4,13.908,2012,1246,1257,CBS
5,9.5,16.715,2011,1163,1246,CBS
5,8.3,14.189,2011,1139,1433,CBS
5,9.2,15.823,2010,1181,1452,CBS
5,8.6,14.46,2010,1139,1277,CBS
5,8.5,14.454,2009,1314,1437,CBS
5,7.8,12.583,2009,1277,1163,CBS
5,8.8,14.435,2008,1242,1314,CBS
5,7.2,11.77,2008,1272,1417,CBS
5,8.9,14.371,2007,1196,1417,CBS
5,8.4,13.229,2007,1326,1207,CBS
5,9.1,14.492,2006,1196,1206,CBS
5,8.2,13.145,2006,1417,1261,CBS
5,10.9,17.548,2005,1314,1277,CBS
5,10,15.657,2005,1228,1257,CBS
5,10.5,16.736,2004,1163,1181,CBS
5,8.3,12.944,2004,1210,1329,CBS
5,7.9,12.571,2003,1393,1400,CBS
5,6.3,9.897,2003,1242,1266,CBS
